U+2820C	𨈌	⿰𧾷戀
U+2820D	𨈍	⿰𧾷⿱賏隻
U+2820E	𨈎	⿰𧾷鸞
U+2820F	𨈏	𨈏
U+28210	𨈐	𨈐
U+28211	𨈑	𨈑
U+28212	𨈒	⿰身卜
U+28213	𨈓	⿰身小
U+28214	𨈔	⿰身凡
U+28215	𨈕	⿰身阝	⿰身⻏
U+28216	𨈖	⿱身口
U+28217	𨈗	⿱口身
U+28218	𨈘	⿰身少
U+28219	𨈙	⿰身攴
U+2821A	𨈚	⿰身比
U+2821B	𨈛	⿰身支
U+2821C	𨈜	⿰身冄
U+2821D	𨈝	⿰身丹
U+2821E	𨈞	⿰身𠬝
U+2821F	𨈟	⿰身戈
U+28220	𨈠	⿰身爻
U+28221	𨈡	⿰身攵
U+28222	𨈢	⿰身亢
U+28223	𨈣	⿰身尤
U+28224	𨈤	⿰身元
U+28225	𨈥	⿰身毛
U+28226	𨈦	⿰身仌
U+28227	𨈧	⿰身引
U+28228	𨈨	⿰身⿱𠂉几
U+28229	𨈩	⿰身犮
U+2822A	𨈪	⿰身只
U+2822B	𨈫	⿰身主
U+2822C	𨈬	⿰身丘
U+2822D	𨈭	⿰身冉
U+2822E	𨈮	⿰身申
U+2822F	𨈯	⿰身孕
U+28230	𨈰	⿰身古
U+28231	𨈱	⿰身旦
U+28232	𨈲	⿰身⿱八亏
U+28233	𨈳	⿰身句
U+28234	𨈴	⿰身𠮦
U+28235	𨈵	⿰身皮
U+28236	𨈶	⿰身母
U+28237	𨈷	⿰身它
U+28238	𨈸	⿰身舌	⿰身⾆
U+28239	𨈹	⿰身同
U+2823A	𨈺	⿰身老
U+2823B	𨈻	⿰身自
U+2823C	𨈼	⿰身⿱女小
U+2823D	𨈽	⿰身关
U+2823E	𨈾	⿰身并
U+2823F	𨈿	⿱合身
U+28240	𨉀	⿰身𡗢
U+28241	𨉁	⿰身光
U+28242	𨉂	⿰身⿱中丂
U+28243	𨉃	⿱任身
U+28244	𨉄	⿰身𮉼	⿰身⿱丿𭁠
U+28245	𨉅	⿰身⿱人亓	⿰身⿱亼丌
U+28246	𨉆	⿰身色
U+28247	𨉇	⿰身⿱火人
U+28248	𨉈	⿰身廷
U+28249	𨉉	⿰身坒
U+2824A	𨉊	⿰身⿱比大	⿰身𡗬
U+2824B	𨉋	⿰身兌
U+2824C	𨉌	⿰身足
U+2824D	𨉍	⿰身㒵
U+2824E	𨉎	⿰身辰
U+2824F	𨉏	⿰身免
U+28250	𨉐	⿰身我
U+28251	𨉑	⿰身呈
U+28252	𨉒	⿰身災
U+28253	𨉓	⿰身⿱八丙	⿰身𠇮
U+28254	𨉔	⿰身卓
U+28255	𨉕	⿰身戾
U+28256	𨉖	⿵門身
U+28257	𨉗	⿰身宝
U+28258	𨉘	⿰身近
U+28259	𨉙	⿰身⿹戈歹
U+2825A	𨉚	⿰身奄
U+2825B	𨉛	⿰身⿱口矢
U+2825C	𨉜	⿰身周
U+2825D	𨉝	⿰身宛
U+2825E	𨉞	⿰身夌
U+2825F	𨉟	⿰身命
U+28260	𨉠	⿰身拌
U+28261	𨉡	⿰身垂
U+28262	𨉢	⿰身重
U+28263	𨉣	⿰身叚
U+28264	𨉤	⿰身皇
U+28265	𨉥	⿰身面
U+28266	𨉦	⿰身骨
U+28267	𨉧	⿰身⿵戊歹
U+28268	𨉨	⿰身段
U+28269	𨉩	⿰身春
U+2826A	𨉪	⿰身曷
U+2826B	𨉫	⿰身⿹勹吕
U+2826C	𨉬	⿰身亭
U+2826D	𨉭	⿰身眉
U+2826E	𨉮	⿰身𣬉
U+2826F	𨉯	⿰身⿱𦥔丂	⿰身𦥚[X]
U+28270	𨉰	⿰身郎
U+28271	𨉱	⿰身弱
U+28272	𨉲	⿰身高
U+28273	𨉳	⿰身翁
U+28274	𨉴	⿰身茸
U+28275	𨉵	⿰身鬼
U+28276	𨉶	⿰身差
U+28277	𨉷	⿰身容
U+28278	𨉸	⿰身馬
U+28279	𨉹	⿰身國
U+2827A	𨉺	⿰身貧
U+2827B	𨉻	⿰身軟
U+2827C	𨉼	⿰身惡[H]	⿰身悪[T]	⿰身悪
U+2827D	𨉽	⿰身⿱囯王
U+2827E	𨉾	⿰身𥬥
U+2827F	𨉿	⿰身𦓔
