# Hanyo-Denshi IVD Collection
# https://www.unicode.org/ivd/hanyo-denshi/
# 13,045 total IVSes registered in the 2012-03-02 version of the IVD
# PRIs #167 & #187
#
4343 E0101; Hanyo-Denshi; JD8465
4343 E0102; Hanyo-Denshi; KS314320
4359 E0100; Hanyo-Denshi; IA4222
4359 E0101; Hanyo-Denshi; KS316060
4395 E0100; Hanyo-Denshi; IA4278
4395 E0101; Hanyo-Denshi; TK01074010
43A8 E0100; Hanyo-Denshi; IA4294
43A8 E0101; Hanyo-Denshi; TK01074340
43A9 E0100; Hanyo-Denshi; IA0588
43A9 E0101; Hanyo-Denshi; KS323160
43AA E0100; Hanyo-Denshi; IA4301
43AA E0101; Hanyo-Denshi; TK01074350
43AF E0100; Hanyo-Denshi; IA4304
43AF E0101; Hanyo-Denshi; TK01074420
43CA E0100; Hanyo-Denshi; IA0589
43CA E0101; Hanyo-Denshi; KS326000
43CB E0100; Hanyo-Denshi; IA0590
43CB E0101; Hanyo-Denshi; TK01032910
43CB E0102; Hanyo-Denshi; TK01075110
43D5 E0100; Hanyo-Denshi; IA0591
43D5 E0101; Hanyo-Denshi; KS326950
43D5 E0102; Hanyo-Denshi; TK01075190
43DC E0100; Hanyo-Denshi; IA4345
43DC E0101; Hanyo-Denshi; TK01041310
43F0 E0101; Hanyo-Denshi; JD8534
43F0 E0102; Hanyo-Denshi; IA4360
440C E0101; Hanyo-Denshi; IA0605
440C E0102; Hanyo-Denshi; KS330260
446B E0100; Hanyo-Denshi; IA4474
446B E0101; Hanyo-Denshi; KS340060
4476 E0101; Hanyo-Denshi; IA0613
4476 E0102; Hanyo-Denshi; TK01075970
4493 E0100; Hanyo-Denshi; IA4509
4493 E0101; Hanyo-Denshi; KS342120
4494 E0100; Hanyo-Denshi; IA0616
4494 E0101; Hanyo-Denshi; KS342200
4498 E0100; Hanyo-Denshi; IA4512
4498 E0101; Hanyo-Denshi; KS342640
44A0 E0100; Hanyo-Denshi; KS343370
44A0 E0101; Hanyo-Denshi; TK01076420
